# z LM (E,E) abs(P1) alpha
24.266667 20.563002 1.001353 0.093724 -0.005871
24.333333 20.407369 1.001361 0.095418 -0.005904
24.400000 20.256806 1.001368 0.097087 -0.005936
24.466667 20.110991 1.001375 0.098730 -0.005967
24.533333 19.969600 1.001383 0.100351 -0.005999
24.600000 19.832303 1.001390 0.101949 -0.006030
24.666667 19.698771 1.001397 0.103529 -0.006061
24.733333 19.568671 1.001404 0.105091 -0.006092
24.800000 19.441671 1.001411 0.106639 -0.006123
24.866667 19.317437 1.001418 0.108175 -0.006153
24.933333 19.195638 1.001425 0.109703 -0.006183
25.000000 19.075942 1.001432 0.111225 -0.006212
25.066667 18.958024 1.001439 0.112745 -0.006242
25.133333 18.841561 1.001445 0.114267 -0.006271
25.200000 18.726236 1.001452 0.115795 -0.006299
25.266667 18.611741 1.001458 0.117331 -0.006327
25.333333 18.497775 1.001465 0.118881 -0.006355
25.400000 18.384049 1.001471 0.120447 -0.006382
25.466667 18.270288 1.001477 0.122035 -0.006409
25.533333 18.156228 1.001483 0.123648 -0.006436
25.600000 18.041623 1.001489 0.125291 -0.006462
25.666667 17.926245 1.001495 0.126966 -0.006488
25.733333 17.809883 1.001501 0.128678 -0.006513
25.800000 17.692349 1.001507 0.130432 -0.006538
25.866667 17.573475 1.001513 0.132229 -0.006563
25.933333 17.453115 1.001518 0.134074 -0.006587
26.000000 17.331149 1.001524 0.135970 -0.006610
26.066667 17.207479 1.001529 0.137920 -0.006633
26.133333 17.082031 1.001534 0.139926 -0.006656
26.200000 16.954758 1.001539 0.141991 -0.006678
26.266667 16.825633 1.001544 0.144118 -0.006700
26.333333 16.694654 1.001549 0.146308 -0.006722
26.400000 16.561842 1.001554 0.148562 -0.006743
26.466667 16.427238 1.001559 0.150882 -0.006763
26.533333 16.290903 1.001563 0.153269 -0.006783
26.600000 16.152917 1.001568 0.155724 -0.006803
26.666667 16.013375 1.001572 0.158245 -0.006822
26.733333 15.872389 1.001577 0.160835 -0.006841
26.800000 15.730082 1.001581 0.163492 -0.006859
26.866667 15.586588 1.001585 0.166215 -0.006877
26.933333 15.442053 1.001589 0.169004 -0.006894
27.000000 15.296625 1.001593 0.171858 -0.006911
27.066667 15.150463 1.001597 0.174774 -0.006928
27.133333 15.003725 1.001600 0.177752 -0.006944
27.200000 14.856573 1.001604 0.180789 -0.006959
27.266667 14.709170 1.001608 0.183883 -0.006975
27.333333 14.561677 1.001611 0.187032 -0.006989
27.400000 14.414254 1.001614 0.190234 -0.007004
27.466667 14.267055 1.001618 0.193485 -0.007018
27.533333 14.120234 1.001621 0.196783 -0.007031
27.600000 13.973935 1.001624 0.200126 -0.007045
27.666667 13.828302 1.001627 0.203510 -0.007058
27.733333 13.683467 1.001630 0.206932 -0.007070
27.800000 13.539559 1.001632 0.210389 -0.007082
27.866667 13.396699 1.001635 0.213877 -0.007094
27.933333 13.255000 1.001638 0.217395 -0.007105
28.000000 13.114568 1.001640 0.220939 -0.007116
28.066667 12.975501 1.001643 0.224504 -0.007126
28.133333 12.837892 1.001645 0.228090 -0.007137
28.200000 12.701824 1.001647 0.231691 -0.007146
28.266667 12.567372 1.001649 0.235305 -0.007156
28.333333 12.434607 1.001652 0.238929 -0.007165
28.400000 12.303590 1.001654 0.242561 -0.007174
28.466667 12.174377 1.001656 0.246196 -0.007182
28.533333 12.047018 1.001657 0.249833 -0.007191
28.600000 11.921556 1.001659 0.253467 -0.007199
28.666667 11.798026 1.001661 0.257098 -0.007206
28.733333 11.676462 1.001663 0.260722 -0.007213
28.800000 11.556888 1.001664 0.264336 -0.007220
28.866667 11.439327 1.001666 0.267938 -0.007227
28.933333 11.323794 1.001667 0.271525 -0.007234
29.000000 11.210300 1.001669 0.275096 -0.007240
29.066667 11.098854 1.001670 0.278649 -0.007246
29.133333 10.989460 1.001671 0.282181 -0.007251
29.200000 10.882117 1.001673 0.285689 -0.007257
29.266667 10.776821 1.001674 0.289174 -0.007262
29.333333 10.673568 1.001675 0.292632 -0.007267
29.400000 10.572346 1.001676 0.296062 -0.007271
29.466667 10.473145 1.001677 0.299463 -0.007276
29.533333 10.375949 1.001678 0.302833 -0.007280
29.600000 10.280743 1.001679 0.306170 -0.007284
29.666667 10.187508 1.001680 0.309474 -0.007288
29.733333 10.096223 1.001681 0.312744 -0.007291
29.800000 10.006866 1.001681 0.315978 -0.007295
29.866667 9.919415 1.001682 0.319175 -0.007298
29.933333 9.833844 1.001683 0.322335 -0.007301
30.000000 9.750128 1.001684 0.325457 -0.007304
30.066667 9.668241 1.001684 0.328540 -0.007307
30.133333 9.588156 1.001685 0.331583 -0.007309
30.200000 9.509844 1.001685 0.334586 -0.007312
30.266667 9.433277 1.001686 0.337548 -0.007314
30.333333 9.358427 1.001686 0.340470 -0.007316
30.400000 9.285265 1.001687 0.343350 -0.007318
30.466667 9.213762 1.001687 0.346188 -0.007320
30.533333 9.143889 1.001688 0.348984 -0.007321
30.600000 9.075617 1.001688 0.351738 -0.007323
30.666667 9.008918 1.001688 0.354449 -0.007325
30.733333 8.943764 1.001689 0.357118 -0.007326
30.800000 8.880126 1.001689 0.359744 -0.007327
30.866667 8.817978 1.001689 0.362327 -0.007328
30.933333 8.757291 1.001689 0.364868 -0.007329
31.000000 8.698041 1.001690 0.367365 -0.007330
